 "Provinsi" , "kode_provinsi" , "PDRB_per_kapita_2014_juta_rupiah" , "Longitude" , "Latitude" , "tahun" , "jumlah_penduduk" , "jumlah_penderita" , "jumlah_penerima" , "persentasefilariasis" , "persentasepenerima" ,
 "Papua Barat" , "91" , "68,59" , "132.2333" , "-1.6167" , "2010" , "717731" , "988" , "418879" , "0.137656029905354513041794" , "0.137656029905354513041794" ,
 "Papua Barat" , "91" , "68,59" , "132.2333" , "-1.6167" , "2011" , "732381" , "988" , "498485" , "0.13490246196993095123986" , "0.13490246196993095123986" ,
 "Papua Barat" , "91" , "68,59" , "132.2333" , "-1.6167" , "2009" , "703105" , "988" , "214756" , "0.140519552556161597485439" , "0.140519552556161597485439" ,
 "Papua Barat" , "91" , "68,59" , "132.2333" , "-1.6167" , "2012" , "747007" , "988" , "559994" , "0.13226114346987377628322" , "0.13226114346987377628322" ,
 "Papua Barat" , "91" , "68,59" , "132.2333" , "-1.6167" , "2008" , "688529" , "985" , "191533" , "0.143058607553204004479114" , "0.143058607553204004479114" ,
 "Riau" , "14" , "109,83" , "101.9167" , "0.7" , "2011" , "6779951" , "532" , "2542994" , "0.007846664378547868561291" , "0.007846664378547868561291" ,
 "Riau" , "14" , "109,83" , "101.9167" , "0.7" , "2010" , "6534055" , "532" , "1087553" , "0.008141957788846283050877" , "0.008141957788846283050877" ,
 "Riau" , "14" , "109,83" , "101.9167" , "0.7" , "2008" , "6043715" , "532" , "618210" , "0.008802532879197645818838" , "0.008802532879197645818838" ,
 "Riau" , "14" , "109,83" , "101.9167" , "0.7" , "2012" , "7027224" , "310" , "4058246" , "0.004411414806188048082713" , "0.004411414806188048082713" ,
 "Riau" , "14" , "109,83" , "101.9167" , "0.7" , "2009" , "6290346" , "532" , "642799" , "0.0084574044098687099247" , "0.0084574044098687099247" ,
 "Sulawesi Barat" , "76" , "23,36" , "119.35" , "-2.45" , "2009" , "1156511" , "96" , "429407" , "0.008300828958825294355176" , "0.008300828958825294355176" ,
 "Sulawesi Barat" , "76" , "23,36" , "119.35" , "-2.45" , "2012" , "1190136" , "96" , "586400" , "0.008066305027324608280062" , "0.008066305027324608280062" ,
 "Sulawesi Barat" , "76" , "23,36" , "119.35" , "-2.45" , "2010" , "1167626" , "96" , "529188" , "0.008221810751045283335588" , "0.008221810751045283335588" ,
 "Sulawesi Barat" , "76" , "23,36" , "119.35" , "-2.45" , "2011" , "1178906" , "96" , "879405" , "0.008143142879924268771216" , "0.008143142879924268771216" ,
 "Sulawesi Barat" , "76" , "23,36" , "119.35" , "-2.45" , "2008" , "1139093" , "96" , "422940" , "0.008427757874027844960859" , "0.008427757874027844960859" ,
 "Sulawesi Selatan" , "73" , "35,59" , "119.8667" , "-4.7" , "2010" , "7613557" , "128" , "257873" , "0.001681211554599249733074" , "0.001681211554599249733074" ,
 "Sulawesi Selatan" , "73" , "35,59" , "119.8667" , "-4.7" , "2008" , "7427508" , "60" , "383067" , "0.000807807948507090130364" , "0.000807807948507090130364" ,
 "Sulawesi Selatan" , "73" , "35,59" , "119.8667" , "-4.7" , "2011" , "7637112" , "129" , "260364" , "0.001689120180508024499313" , "0.001689120180508024499313" ,
 "Sulawesi Selatan" , "73" , "35,59" , "119.8667" , "-4.7" , "2009" , "7541065" , "128" , "388925" , "0.001697372983789424968489" , "0.001697372983789424968489" ,
 "Sulawesi Selatan" , "73" , "35,59" , "119.8667" , "-4.7" , "2012" , "7760667" , "133" , "262855" , "0.001713770221038990591916" , "0.001713770221038990591916" ,
 "Sulawesi Tengah" , "72" , "31,88" , "121.7333" , "-0.9667" , "2009" , "2668400" , "451" , "614665" , "0.016901514015889671713386" , "0.016901514015889671713386" ,
 "Sulawesi Tengah" , "72" , "31,88" , "121.7333" , "-0.9667" , "2011" , "2730000" , "468" , "1887193" , "0.017142857142857142857142" , "0.017142857142857142857142" ,
 "Sulawesi Tengah" , "72" , "31,88" , "121.7333" , "-0.9667" , "2010" , "2737100" , "451" , "1149323" , "0.016477293485806145190164" , "0.016477293485806145190164" ,
 "Sulawesi Tengah" , "72" , "31,88" , "121.7333" , "-0.9667" , "2012" , "2334700" , "503" , "1323547" , "0.021544523921703002527091" , "0.021544523921703002527091" ,
 "Sulawesi Tengah" , "72" , "31,88" , "121.7333" , "-0.9667" , "2008" , "2640500" , "451" , "409203" , "0.017080098466199583412232" , "0.017080098466199583412232" ,
 "Sulawesi Tenggara" , "74" , "32,12" , "122.7333" , "-4.5" , "2010" , "2478400" , "107" , "598533" , "0.004317301484828921885087" , "0.004317301484828921885087" ,
 "Sulawesi Tenggara" , "74" , "32,12" , "122.7333" , "-4.5" , "2009" , "2420800" , "201" , "290009" , "0.008303040317250495703899" , "0.008303040317250495703899" ,
 "Sulawesi Tenggara" , "74" , "32,12" , "122.7333" , "-4.5" , "2012" , "2593300" , "119" , "1116502" , "0.00458874792735125130143" , "0.00458874792735125130143" ,
 "Sulawesi Tenggara" , "74" , "32,12" , "122.7333" , "-4.5" , "2011" , "2536200" , "119" , "951648" , "0.004692058985884393975238" , "0.004692058985884393975238" ,
 "Sulawesi Tenggara" , "74" , "32,12" , "122.7333" , "-4.5" , "2008" , "2363900" , "208" , "394837" , "0.00879901857100554168958" , "0.00879901857100554168958" ,
 "Sulawesi Utara" , "71" , "33,78" , "124.5167" , "1.25" , "2008" , "2277200" , "30" , "0" , "0.001317407342350254698752" , "0.001317407342350254698752" ,
 "Sulawesi Utara" , "71" , "33,78" , "124.5167" , "1.25" , "2009" , "2302100" , "30" , "0" , "0.001303157986186525346422" , "0.001303157986186525346422" ,
 "Sulawesi Utara" , "71" , "33,78" , "124.5167" , "1.25" , "2012" , "2378200" , "30" , "0" , "0.001261458245732066268606" , "0.001261458245732066268606" ,
 "Sulawesi Utara" , "71" , "33,78" , "124.5167" , "1.25" , "2010" , "2328400" , "30" , "0" , "0.001288438412643875622745" , "0.001288438412643875622745" ,
 "Sulawesi Utara" , "71" , "33,78" , "124.5167" , "1.25" , "2011" , "2352900" , "30" , "0" , "0.001275022312890475583322" , "0.001275022312890475583322" ,
 "Sumatera Barat" , "13" , "32,55" , "100.8" , "-0.7399" , "2009" , "4564900" , "274" , "1967348" , "0.006002322066200793007513" , "0.006002322066200793007513" ,
 "Sumatera Barat" , "13" , "32,55" , "100.8" , "-0.7399" , "2008" , "4535300" , "274" , "2364568" , "0.006041496703635922651202" , "0.006041496703635922651202" ,
 "Sumatera Barat" , "13" , "32,55" , "100.8" , "-0.7399" , "2012" , "4662600" , "193" , "1447770" , "0.004139321408656114614163" , "0.004139321408656114614163" ,
 "Sumatera Barat" , "13" , "32,55" , "100.8" , "-0.7399" , "2011" , "4631200" , "274" , "1383848" , "0.005916393159440317844187" , "0.005916393159440317844187" ,
 "Sumatera Barat" , "13" , "32,55" , "100.8" , "-0.7399" , "2010" , "4597400" , "274" , "1452339" , "0.005959890372819419671988" , "0.005959890372819419671988" ,
 "Sumatera Selatan" , "16" , "38,84" , "104.15" , "-3.2833" , "2009" , "8523344" , "210" , "830207" , "0.002463821711290779769067" , "0.002463821711290779769067" ,
 "Sumatera Selatan" , "16" , "38,84" , "104.15" , "-3.2833" , "2012" , "8904670" , "185" , "2307640" , "0.002077561549164651806299" , "0.002077561549164651806299" ,
 "Sumatera Selatan" , "16" , "38,84" , "104.15" , "-3.2833" , "2011" , "8778107" , "210" , "1679571" , "0.002392315336324790754999" , "0.002392315336324790754999" ,
 "Sumatera Selatan" , "16" , "38,84" , "104.15" , "-3.2833" , "2008" , "8397241" , "210" , "817924" , "0.002500821400743410841727" , "0.002500821400743410841727" ,
 "Sumatera Selatan" , "16" , "38,84" , "104.15" , "-3.2833" , "2010" , "8650099" , "210" , "812626" , "0.002427717879298260054595" , "0.002427717879298260054595" ,
 "Sumatera Utara" , "12" , "38,05" , "98.8167" , "1.8333" , "2009" , "13873207" , "141" , "2175487" , "0.001016347553957783517538" , "0.001016347553957783517538" ,
 "Sumatera Utara" , "12" , "38,05" , "98.8167" , "1.8333" , "2011" , "14161120" , "148" , "5653645" , "0.001045115075643734393889" , "0.001045115075643734393889" ,
 "Sumatera Utara" , "12" , "38,05" , "98.8167" , "1.8333" , "2010" , "14016313" , "141" , "4468621" , "0.001005970685728836106899" , "0.001005970685728836106899" ,
 "Sumatera Utara" , "12" , "38,05" , "98.8167" , "1.8333" , "2008" , "13733234" , "141" , "1128343" , "0.001026706455303972829706" , "0.001026706455303972829706" ,
